                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 4
Date & Time:     4/1/2019 12:00:20 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 4 ,N1034   , 166 ,158.38,40
 4 ,N1034   , 166.5 ,158.92,40
 4 ,N1034   , 167 ,158.95,41
 4 ,N1034   , 167.5 ,159.30,38
 4 ,N1034   , 168 ,159.87,42
 4 ,N1034   , 168.5 ,159.91,45
 4 ,N1034   , 169 ,159.94,44
 4 ,N1034   , 169.5 ,160.29,47
 4 ,N1034   , 170 ,160.20,46
 4 ,N1034   , 170.5 ,160.80,49
 4 ,N1034   , 171 ,161.20,50
 4 ,N1034   , 171.5 ,161.80,51
 4 ,N1034   , 172 ,162.20,51
 4 ,N1034   , 172.5 ,162.80,54
 4 ,N1034   , 173 ,163.87,53
 4 ,N1034   , 173.5 ,164.24,55
 4 ,N1034   , 174 ,164.16,55
 4 ,N1034   , 174.5 ,164.78,60
 4 ,N1034   , 175 ,164.85,61
 4 ,N1034   , 175.5 ,165.57,58
 4 ,N1034   , 176 ,166.04,62
 4 ,N1034   , 176.5 ,166.03,63
 4 ,N1034   , 177 ,166.69,67
 4 ,N1034   , 177.5 ,166.79,67
 4 ,N1034   , 178 ,167.19,73
 4 ,N1034   , 178.5 ,167.13,71
 4 ,N1034   , 179 ,167.75,70
 4 ,N1034   , 179.5 ,168.17,76
 4 ,N1034   , 180 ,168.45,73
 4 ,N1034   , 180.5 ,168.96,76
 4 ,N1034   , 181 ,169.64,80
 4 ,N1034   , 181.5 ,169.76,80
 4 ,N1034   , 182 ,170.17,83
 4 ,N1034   , 182.5 ,170.78,80
 4 ,N1034   , 183 ,171.52,83
 4 ,N1034   , 183.5 ,172.01,83
 4 ,N1034   , 184 ,172.01,88
 4 ,N1034   , 184.5 ,172.34,89
 4 ,N1034   , 185 ,172.89,92
 4 ,N1034   , 185.5 ,173.26,91
 4 ,N1034   , 186 ,173.17,93
 4 ,N1034   , 186.5 ,173.45,93
