temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,
124.40000,1.97986,0.12970,1.61946,0.00000,0.00000,1.74916,1.97986,
124.60000,1.90795,0.13074,1.61704,0.00000,0.00000,1.74778,1.90795,
125.40000,1.82464,0.13496,1.60722,0.00000,0.00000,1.74219,1.82464,
125.93000,1.74859,0.13783,1.60059,0.00000,0.00000,1.73842,1.74859,
125.95000,1.69300,0.13794,1.60034,0.00000,0.00000,1.73828,1.69300,
125.97000,1.66255,0.13805,1.60009,0.00000,0.00000,1.73813,1.66255,
125.98000,1.65469,0.13810,1.59996,0.00000,0.00000,1.73806,1.65469,
126.32000,1.66382,0.13997,1.59565,0.00000,0.00000,1.73562,1.66382,
126.88000,1.68528,0.14310,1.58846,0.00000,0.00000,1.73155,1.68528,
127.92000,1.71646,0.14906,1.57482,0.00000,0.00000,1.72388,1.71646,
128.61000,1.75531,0.15313,1.56557,0.00000,0.00000,1.71870,1.75531,
128.74000,1.79700,0.15391,1.56381,0.00000,0.00000,1.71772,1.79700,
129.16000,1.83191,0.15645,1.55808,0.00000,0.00000,1.71453,1.83191,
129.44000,1.84840,0.15816,1.55424,0.00000,0.00000,1.71240,1.84840,
130.29000,1.83804,0.16345,1.54240,0.00000,0.00000,1.70585,1.83804,
130.86000,1.80000,0.16708,1.53434,0.00000,0.00000,1.70143,1.80000,
131.24000,1.74250,0.16954,1.52891,0.00000,0.00000,1.69846,1.74250,
131.49000,1.67986,0.17118,1.52532,0.00000,0.00000,1.69650,1.67986,
132.00000,1.62705,0.17456,1.51792,0.00000,0.00000,1.69248,1.62705,
132.33000,1.59483,0.17677,1.51310,0.00000,0.00000,1.68987,1.59483,
132.55000,1.58741,0.17826,1.50987,0.00000,0.00000,1.68813,1.58741,
132.70000,1.60323,0.17929,1.50765,0.00000,0.00000,1.68694,1.60323,
132.47000,1.63719,0.17772,1.51104,0.00000,0.00000,1.68876,1.63719,
132.65000,1.68227,0.17894,1.50839,0.00000,0.00000,1.68734,1.68227,
133.43000,1.73068,0.18433,1.49679,0.00000,0.00000,1.68112,1.73068,
133.62000,1.77464,0.18566,1.49394,0.00000,0.00000,1.67961,1.77464,
134.41000,1.80750,0.19130,1.48198,0.00000,0.00000,1.67328,1.80750,
134.61000,1.82604,0.19274,1.47893,0.00000,0.00000,1.67167,1.82604,
134.74000,1.83250,0.19369,1.47694,0.00000,0.00000,1.67063,1.83250,
135.49000,1.83418,0.19923,1.46536,0.00000,0.00000,1.66459,1.83418,
136.00000,1.84059,0.20307,1.45741,0.00000,0.00000,1.66048,1.84059,
136.66000,1.85918,0.20813,1.44702,0.00000,0.00000,1.65515,1.85918,
137.11000,1.89168,0.21165,1.43988,0.00000,0.00000,1.65152,1.89168,
137.07000,1.93332,0.21133,1.44051,0.00000,0.00000,1.65185,1.93332,
137.38000,1.97464,0.21378,1.43557,0.00000,0.00000,1.64935,1.97464,
137.92000,2.00450,0.21810,1.42690,0.00000,0.00000,1.64500,2.00450,
137.95000,2.01326,0.21834,1.42641,0.00000,0.00000,1.64475,2.01326,
138.30000,1.99545,0.22118,1.42075,0.00000,0.00000,1.64194,1.99545,
138.87000,1.95227,0.22588,1.41148,0.00000,0.00000,1.63736,1.95227,
138.58000,1.89332,0.22348,1.41621,0.00000,0.00000,1.63969,1.89332,
139.38000,1.83477,0.23015,1.40312,0.00000,0.00000,1.63327,1.83477,
139.59000,1.79387,0.23193,1.39967,0.00000,0.00000,1.63159,1.79387,
140.06000,1.78205,0.23595,1.39190,0.00000,0.00000,1.62784,1.78205,
140.71000,1.79964,0.24161,1.38108,0.00000,0.00000,1.62268,1.79964,
141.47000,1.83477,0.24837,1.36832,0.00000,0.00000,1.61668,1.83477,
141.65000,1.86845,0.24999,1.36528,0.00000,0.00000,1.61527,1.86845,
142.10000,1.88427,0.25409,1.35766,0.00000,0.00000,1.61175,1.88427,
142.40000,1.87714,0.25685,1.35256,0.00000,0.00000,1.60941,1.87714,
142.60000,1.85450,0.25871,1.34915,0.00000,0.00000,1.60786,1.85450,
143.07000,1.83023,0.26312,1.34111,0.00000,0.00000,1.60423,1.83023,
143.38000,1.81587,0.26606,1.33579,0.00000,0.00000,1.60184,1.81587,
143.58000,1.81427,0.26797,1.33234,0.00000,0.00000,1.60031,1.81427,
143.39000,1.81877,0.26615,1.33561,0.00000,0.00000,1.60177,1.81877,
143.93000,1.81741,0.27134,1.32630,0.00000,0.00000,1.59764,1.81741,
144.62000,1.80000,0.27809,1.31434,0.00000,0.00000,1.59243,1.80000,
144.75000,1.76385,0.27938,1.31208,0.00000,0.00000,1.59146,1.76385,
145.50000,1.71441,0.28691,1.29897,0.00000,0.00000,1.58588,1.71441,
146.00000,1.66160,0.29202,1.29019,0.00000,0.00000,1.58222,1.66160,
145.67000,1.61582,0.28864,1.29599,0.00000,0.00000,1.58463,1.61582,
146.44000,1.58477,0.29658,1.28244,0.00000,0.00000,1.57902,1.58477,
146.96000,1.57174,0.30205,1.27324,0.00000,0.00000,1.57529,1.57174,
147.31000,1.57536,0.30577,1.26704,0.00000,0.00000,1.57281,1.57536,
147.54000,1.59082,0.30824,1.26295,0.00000,0.00000,1.57119,1.59082,
148.36000,1.61182,0.31718,1.24832,0.00000,0.00000,1.56550,1.61182,
148.91000,1.63250,0.32329,1.23847,0.00000,0.00000,1.56176,1.63250,
148.94000,1.64877,0.32363,1.23793,0.00000,0.00000,1.56156,1.64877,
149.29000,1.65918,0.32757,1.23165,0.00000,0.00000,1.55922,1.65918,
150.19000,1.66441,0.33789,1.21543,0.00000,0.00000,1.55332,1.66441,
150.13000,1.66627,0.33720,1.21651,0.00000,0.00000,1.55371,1.66627,
150.42000,1.66668,0.34057,1.21127,0.00000,0.00000,1.55185,1.66668,
150.95000,1.66668,0.34682,1.20168,0.00000,0.00000,1.54850,1.66668,
150.96000,1.66663,0.34693,1.20150,0.00000,0.00000,1.54843,1.66663,
151.31000,1.66668,0.35111,1.19515,0.00000,0.00000,1.54626,1.66668,
151.54000,1.66668,0.35387,1.19098,0.00000,0.00000,1.54485,1.66668,
151.69000,1.66627,0.35569,1.18825,0.00000,0.00000,1.54394,1.66627,
152.13000,1.66441,0.36105,1.18024,0.00000,0.00000,1.54130,1.66441,
152.75000,1.65918,0.36872,1.16894,0.00000,0.00000,1.53766,1.65918,
153.50000,1.64877,0.37817,1.15524,0.00000,0.00000,1.53342,1.64877,
153.67000,1.63250,0.38034,1.15214,0.00000,0.00000,1.53248,1.63250,
153.78000,1.61182,0.38175,1.15012,0.00000,0.00000,1.53187,1.61182,
154.52000,1.59082,0.39134,1.13657,0.00000,0.00000,1.52791,1.59082,
155.01000,1.57536,0.39780,1.12758,0.00000,0.00000,1.52538,1.57536,
154.68000,1.57174,0.39344,1.13364,0.00000,0.00000,1.52708,1.57174,
155.45000,1.58477,0.40367,1.11951,0.00000,0.00000,1.52318,1.58477,
155.63000,1.61582,0.40609,1.11620,0.00000,0.00000,1.52229,1.61582,
156.09000,1.66196,0.41234,1.10775,0.00000,0.00000,1.52009,1.66196,
156.06000,1.71668,0.41193,1.10830,0.00000,0.00000,1.52023,1.71668,
156.37000,1.77099,0.41617,1.10260,0.00000,0.00000,1.51878,1.77099,
156.92000,1.81486,0.42380,1.09249,0.00000,0.00000,1.51629,1.81486,
157.28000,1.83918,0.42885,1.08587,0.00000,0.00000,1.51472,1.83918,
157.85000,1.83849,0.43694,1.07538,0.00000,0.00000,1.51232,1.83849,
158.23000,1.81267,0.44240,1.06839,0.00000,0.00000,1.51080,1.81267,
158.49000,1.76682,0.44617,1.06361,0.00000,0.00000,1.50978,1.76682,
159.33000,1.71036,0.45853,1.04816,0.00000,0.00000,1.50669,1.71036,
159.55000,1.65509,0.46181,1.04411,0.00000,0.00000,1.50592,1.65509,
160.03000,1.61146,0.46903,1.03529,0.00000,0.00000,1.50432,1.61146,
160.36000,1.58469,0.47404,1.02923,0.00000,0.00000,1.50327,1.58469,
160.90000,1.57273,0.48234,1.01931,0.00000,0.00000,1.50165,1.57273,
161.27000,1.56809,0.48809,1.01252,0.00000,0.00000,1.50062,1.56809,
161.85000,1.56278,0.49722,1.00189,0.00000,0.00000,1.49911,1.56278,
161.90000,1.55323,0.49801,1.00097,0.00000,0.00000,1.49899,1.55323,
