                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4-2 2
Date & Time:     3/30/2019 2:20:52 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 2 ,N1124   , 178 ,167.11,74
 2 ,N1124   , 178.5 ,167.07,74
 2 ,N1124   , 179 ,167.72,74
 2 ,N1124   , 179.5 ,167.81,80
 2 ,N1124   , 180 ,168.21,77
 2 ,N1124   , 180.5 ,168.80,78
 2 ,N1124   , 181 ,169.20,79
 2 ,N1124   , 181.5 ,169.47,81
 2 ,N1124   , 182 ,169.65,80
 2 ,N1124   , 182.5 ,170.10,82
 2 ,N1124   , 183 ,170.73,84
 2 ,N1124   , 183.5 ,171.15,84
 2 ,N1124   , 184 ,171.77,84
 2 ,N1124   , 184.5 ,172.18,84
 2 ,N1124   , 185 ,172.79,83
 2 ,N1124   , 185.5 ,172.86,90
 2 ,N1124   , 186 ,172.91,89
 2 ,N1124   , 186.5 ,173.27,87
 2 ,N1124   , 187 ,173.51,89
 2 ,N1124   , 187.5 ,174.01,89
 2 ,N1124   , 188 ,174.34,91
 2 ,N1124   , 188.5 ,174.89,89
 2 ,N1124   , 189 ,175.26,91
 2 ,N1124   , 189.5 ,175.51,92
 2 ,N1124   , 190 ,175.34,94
 2 ,N1124   , 190.5 ,175.89,95
 2 ,N1124   , 191 ,176.26,91
 2 ,N1124   , 191.5 ,177.17,95
 2 ,N1124   , 192 ,177.12,93
 2 ,N1124   , 192.5 ,177.74,88
 2 ,N1124   , 193 ,178.16,91
 2 ,N1124   , 193.5 ,178.44,96
 2 ,N1124   , 194 ,178.29,92
 2 ,N1124   , 194.5 ,178.53,97
 2 ,N1124   , 195 ,179.35,97
 2 ,N1124   , 195.5 ,179.90,94
 2 ,N1124   , 196 ,180.27,96
 2 ,N1124   , 196.5 ,180.85,98
 2 ,N1124   , 197 ,181.56,94
 2 ,N1124   , 197.5 ,181.71,95
 2 ,N1124   , 198 ,182.14,100
 2 ,N1124   , 198.5 ,182.76,100
 2 ,N1124   , 199 ,182.51,103
 2 ,N1124   , 199.5 ,182.67,100
 2 ,N1124   , 200 ,183.45,105
 2 ,N1124   , 200.5 ,183.96,103
 2 ,N1124   , 201 ,184.31,106
 2 ,N1124   , 201.5 ,184.87,109
 2 ,N1124   , 202 ,184.92,110
 2 ,N1124   , 202.5 ,185.61,110
 2 ,N1124   , 203 ,185.41,115
 2 ,N1124   , 203.5 ,186.27,119
 2 ,N1124   , 204 ,186.85,118
 2 ,N1124   , 204.5 ,186.90,126
 2 ,N1124   , 205 ,187.27,126
 2 ,N1124   , 205.5 ,187.51,129
 2 ,N1124   , 206 ,187.67,132
 2 ,N1124   , 206.5 ,188.12,133
 2 ,N1124   , 207 ,188.74,136
 2 ,N1124   , 207.5 ,188.83,139
 2 ,N1124   , 208 ,189.22,144
 2 ,N1124   , 208.5 ,189.48,141
 2 ,N1124   , 209 ,189.65,145
 2 ,N1124   , 209.5 ,190.10,149
 2 ,N1124   , 210 ,190.40,150
 2 ,N1124   , 210.5 ,190.93,156
 2 ,N1124   , 211 ,191.62,157
 2 ,N1124   , 211.5 ,191.75,159
 2 ,N1124   , 212 ,192.17,166
 2 ,N1124   , 212.5 ,192.44,164
 2 ,N1124   , 213 ,192.63,167
 2 ,N1124   , 213.5 ,193.09,170
 2 ,N1124   , 214 ,193.72,171
 2 ,N1124   , 214.5 ,194.48,175
 2 ,N1124   , 215 ,194.66,173
 2 ,N1124   , 215.5 ,194.77,180
 2 ,N1124   , 216 ,195.18,170
 2 ,N1124   , 216.5 ,195.45,178
 2 ,N1124   , 217 ,195.97,176
 2 ,N1124   , 217.5 ,195.65,176
 2 ,N1124   , 218 ,196.10,184
 2 ,N1124   , 218.5 ,196.40,170
 2 ,N1124   , 219 ,196.93,171
 2 ,N1124   , 219.5 ,197.29,172
 2 ,N1124   , 220 ,197.86,171
 2 ,N1124   , 220.5 ,198.24,167
 2 ,N1124   , 221 ,198.83,168
 2 ,N1124   , 221.5 ,199.22,160
 2 ,N1124   , 222 ,199.81,164
 2 ,N1124   , 222.5 ,200.54,158
 2 ,N1124   , 223 ,200.69,153
 2 ,N1124   , 223.5 ,201.13,150
 2 ,N1124   , 224 ,201.42,145
 2 ,N1124   , 224.5 ,201.95,140
 2 ,N1124   , 225 ,201.63,133
 2 ,N1124   , 225.5 ,202.75,130
 2 ,N1124   , 226 ,203.17,129
 2 ,N1124   , 226.5 ,203.11,119
 2 ,N1124   , 227 ,203.74,119
 2 ,N1124   , 227.5 ,204.16,111
 2 ,N1124   , 228 ,204.77,101
 2 ,N1124   , 228.5 ,205.18,99
 2 ,N1124   , 229 ,205.12,90
 2 ,N1124   , 229.5 ,205.41,84
 2 ,N1124   , 230 ,205.61,81
 2 ,N1124   , 230.5 ,205.74,74
 2 ,N1124   , 231 ,206.49,69
 2 ,N1124   , 231.5 ,207.00,65
 2 ,N1124   , 232 ,206.66,59
 2 ,N1124   , 232.5 ,207.11,52
 2 ,N1124   , 233 ,207.41,49
 2 ,N1124   , 233.5 ,207.94,44
 2 ,N1124   , 234 ,207.96,40
 2 ,N1124   , 234.5 ,208.31,35
 2 ,N1124   , 235 ,208.87,33
 2 ,N1124   , 235.5 ,209.25,29
 2 ,N1124   , 236 ,209.50,27
 2 ,N1124   , 236.5 ,209.67,24
 2 ,N1124   , 237 ,210.44,21
 2 ,N1124   , 237.5 ,210.63,19
 2 ,N1124   , 238 ,211.09,17
 2 ,N1124   , 238.5 ,211.39,16
 2 ,N1124   , 239 ,211.93,14
 2 ,N1124   , 239.5 ,211.95,13
 2 ,N1124   , 240 ,212.30,13
 2 ,N1124   , 240.5 ,212.53,11
 2 ,N1124   , 241 ,212.69,11
 2 ,N1124   , 241.5 ,213.13,10
 2 ,N1124   , 242 ,213.42,9
 2 ,N1124   , 242.5 ,213.94,9
 2 ,N1124   , 243 ,214.30,8
 2 ,N1124   , 243.5 ,214.86,9
 2 ,N1124   , 244 ,214.91,7
 2 ,N1124   , 244.5 ,215.61,8
 2 ,N1124   , 245 ,216.40,8
 2 ,N1124   , 245.5 ,216.60,7
 2 ,N1124   , 246 ,217.07,7
 2 ,N1124   , 246.5 ,217.71,7
 2 ,N1124   , 247 ,217.47,6
 2 ,N1124   , 247.5 ,217.98,7
 2 ,N1124   , 248 ,217.99,7
 2 ,N1124   , 248.5 ,218.33,5
 2 ,N1124   , 249 ,219.55,6
 2 ,N1124   , 249.5 ,219.70,6
 2 ,N1124   , 250 ,219.80,7
 2 ,N1124   , 250.5 ,219.87,6
 2 ,N1124   , 251 ,220.91,7
 2 ,N1124   , 251.5 ,220.94,6
 2 ,N1124   , 252 ,221.63,7
 2 ,N1124   , 252.5 ,222.08,7
 2 ,N1124   , 253 ,222.39,6
 2 ,N1124   , 253.5 ,222.59,6
 2 ,N1124   , 254 ,223.40,6
 2 ,N1124   , 254.5 ,223.93,7
 2 ,N1124   , 255 ,224.62,6
 2 ,N1124   , 255.5 ,225.08,6
 2 ,N1124   , 256 ,225.05,6
 2 ,N1124   , 256.5 ,225.70,6
 2 ,N1124   , 257 ,225.80,6
 2 ,N1124   , 257.5 ,225.87,6
 2 ,N1124   , 258 ,226.25,6
 2 ,N1124   , 258.5 ,226.16,7
 2 ,N1124   , 259 ,226.44,6
 2 ,N1124   , 259.5 ,226.96,6
 2 ,N1124   , 260 ,227.64,6
 2 ,N1124   , 260.5 ,228.43,7
 2 ,N1124   , 261 ,228.62,7
 2 ,N1124   , 261.5 ,229.08,6
 2 ,N1124   , 262 ,229.05,7
 2 ,N1124   , 262.5 ,229.37,7
 2 ,N1124   , 263 ,229.58,8
 2 ,N1124   , 263.5 ,230.39,6
 2 ,N1124   , 264 ,230.59,8
 2 ,N1124   , 264.5 ,231.39,6
 2 ,N1124   , 265 ,231.60,8
 2 ,N1124   , 265.5 ,232.06,7
 2 ,N1124   , 266 ,232.71,7
 2 ,N1124   , 266.5 ,232.81,8
 2 ,N1124   , 267 ,232.87,7
 2 ,N1124   , 267.5 ,233.25,7
 2 ,N1124   , 268 ,233.50,8
 2 ,N1124   , 268.5 ,233.67,7
 2 ,N1124   , 269 ,234.11,7
 2 ,N1124   , 269.5 ,234.41,9
 2 ,N1124   , 270 ,234.94,7
 2 ,N1124   , 270.5 ,235.96,9
 2 ,N1124   , 271 ,236.31,8
 2 ,N1124   , 271.5 ,236.54,8
 2 ,N1124   , 272 ,236.36,9
 2 ,N1124   , 272.5 ,236.91,8
 2 ,N1124   , 273 ,237.27,8
 2 ,N1124   , 273.5 ,237.85,8
 2 ,N1124   , 274 ,238.23,8
 2 ,N1124   , 274.5 ,238.82,10
 2 ,N1124   , 275 ,238.88,9
 2 ,N1124   , 275.5 ,239.59,9
 2 ,N1124   , 276 ,239.72,10
 2 ,N1124   , 276.5 ,240.15,10
 2 ,N1124   , 277 ,240.43,10
 2 ,N1124   , 277.5 ,240.96,9
 2 ,N1124   , 278 ,241.64,9
 2 ,N1124   , 278.5 ,242.09,12
 2 ,N1124   , 279 ,242.06,9
 2 ,N1124   , 279.5 ,242.37,10
 2 ,N1124   , 280 ,242.58,10
 2 ,N1124   , 280.5 ,243.06,10
 2 ,N1124   , 281 ,243.37,10
 2 ,N1124   , 281.5 ,243.91,12
 2 ,N1124   , 282 ,243.61,10
 2 ,N1124   , 282.5 ,244.07,11
 2 ,N1124   , 283 ,244.38,10
 2 ,N1124   , 283.5 ,245.25,12
 2 ,N1124   , 284 ,245.84,11
 2 ,N1124   , 284.5 ,245.89,12
 2 ,N1124   , 285 ,247.59,12
 2 ,N1124   , 285.5 ,248.40,13
 2 ,N1124   , 286 ,248.93,15
 2 ,N1124   , 286.5 ,249.62,14
 2 ,N1124   , 287 ,250.08,13
 2 ,N1124   , 287.5 ,250.05,12
 2 ,N1124   , 288 ,249.70,15
 2 ,N1124   , 288.5 ,250.13,13
 2 ,N1124   , 289 ,250.42,14
 2 ,N1124   , 289.5 ,250.62,12
 2 ,N1124   , 290 ,250.08,13
 2 ,N1124   , 290.5 ,250.38,12
 2 ,N1124   , 291 ,250.26,13
 2 ,N1124   , 291.5 ,250.50,12
 2 ,N1124   , 292 ,250.00,13
 2 ,N1124   , 292.5 ,249.67,14
 2 ,N1124   , 293 ,249.78,13
 2 ,N1124   , 293.5 ,249.85,12
 2 ,N1124   , 294 ,249.90,11
 2 ,N1124   , 294.5 ,250.27,12
